Time (s),Voltage (V)
1105,2.937787513
1106,2.936554772
1107,2.935315934
1108,2.934074338
1109,2.932832742
1110,2.931590489
1111,2.930348071
1112,2.929105652
1113,2.927857437
1114,2.926608632
1115,2.925359674
1116,2.924101899
1117,2.922844125
1118,2.921584746
1119,2.920323112
1120,2.919061478
1121,2.917797386
1122,2.916532733
1123,2.915266001
1124,2.913991574
1125,2.912717147
1126,2.911438879
1127,2.910158169
1128,2.908877445
1129,2.907595388
1130,2.906313332
1131,2.905027629
1132,2.903736643
1133,2.902445657
1134,2.901147488
1135,2.899847602
1136,2.898547131
1137,2.897244402
1138,2.895941673
1139,2.894636078
1140,2.893328604
1141,2.892021107
1142,2.890705015
1143,2.889388923
1144,2.888069186
1145,2.886744008
1146,2.88541883
1147,2.884091718
1148,2.882764122
1149,2.881435439
1150,2.880102365
1151,2.878769291
1152,2.87742916
1153,2.876084264
1154,2.874739368
1155,2.873390695
1156,2.872042005
1157,2.870692096
1158,2.86934031
1159,2.867987916
1160,2.86662458
1161,2.865261244
1162,2.863892407
1163,2.862521339
1164,2.861149708
1165,2.859777118
1166,2.858404453
1167,2.857029246
1168,2.85565404
1169,2.854270338
1170,2.852882776
1171,2.851489182
1172,2.8500842
1173,2.848679249
1174,2.84728039
1175,2.845881531
1176,2.844479298
1177,2.843075355
1178,2.841663145
1179,2.840249281
1180,2.838831481
1181,2.837411338
1182,2.835989051
1183,2.83456209
1184,2.833133506
1185,2.831700005
1186,2.830264613
1187,2.828826145
1188,2.827383868
1189,2.82593969
1190,2.824489886
1191,2.823038622
1192,2.82158359
1193,2.820124181
1194,2.818660819
1195,2.817197457
1196,2.815732992
1197,2.814258356
1198,2.812783719
1199,2.811307756
1200,2.809823613
1201,2.808339469
1202,2.806853315
1203,2.805358075
1204,2.803862836
1205,2.802365639
1206,2.800861618
1207,2.799357597
1208,2.797850027
1209,2.796332596
1210,2.794815165
1211,2.793295166
1212,2.791769357
1213,2.790243547
1214,2.788713753
1215,2.787176499
1216,2.785639244
1217,2.784097466
1218,2.782548607
1219,2.780999749
1220,2.779445681
1221,2.77788475
1222,2.776323819
1223,2.774757524
1224,2.77318526
1225,2.771612995
1226,2.77003437
1227,2.768449757
1228,2.766865143
1229,2.765274011
1230,2.763677691
1231,2.76208137
1232,2.76047707
1233,2.758867417
1234,2.757257764
1235,2.755640314
1236,2.754018481
1237,2.752396649
1238,2.750766088
1239,2.749131454
1240,2.747496821
1241,2.745851783
1242,2.74420277
1243,2.742553758
1244,2.740894822
1245,2.739232844
1246,2.737570865
1247,2.73589725
1248,2.734220854
1249,2.732544457
1250,2.730857262
1251,2.729168143
1252,2.727479024
1253,2.725775452
1254,2.724070102
1255,2.722364753
1256,2.720646553
1257,2.718927419
1258,2.717208285
1259,2.715472607
1260,2.713736488
1261,2.712000148
1262,2.710249986
1263,2.708499823
1264,2.706748643
1265,2.704980771
1266,2.7032129
1267,2.701443555
1268,2.699660822
1269,2.697878089
1270,2.696092734
1271,2.694291393
1272,2.692490052
1273,2.690685862
1274,2.68886892
1275,2.687051979
1276,2.68523065
1277,2.683394149
1278,2.681557648
1279,2.679716762
1280,2.677863781
1281,2.676010801
1282,2.674151484
1283,2.672277917
1284,2.670404351
1285,2.668524695
1286,2.666633705
1287,2.664742715
1288,2.662843239
1289,2.660930558
1290,2.659017877
1291,2.657097198
1292,2.655166043
1293,2.653234887
1294,2.651292865
1295,2.649338817
1296,2.647384768
1297,2.645420585
1298,2.64344691
1299,2.641473235
